field,mngt_soil,culture,run,nest_n,nest_pa,area_ha,alt_plot,slope_plot,lsc_BPA_500m,lsc_dist_to_BPA,lsc_Forest_500m,lsc_Grassland_500m,lsc_Crop_500m,lsc_Urban_500m,soil_bulk_dens,soil_rel_dens,soil_som,soil_ph,soil_sand,soil_silt,soil_clay,sqa_cov_crop,sqa_cov_moss,sqa_cov_litter,sqa_cov_weed,sqa_cov_bare,sqa_veg_height
AnCa01,CT,Winter wheat,1,11,1,4.693979225118831,356.87608589010034,0.8712247676473666,10.5,138,46.57,12.91,20.44,4.19,1.447697559866103,0.7306579219387113,1.2,5.31,34.59474423075556,42.27223342625903,23.133022342985406,20,0,0,3.3,76.7,19.9
BlDe01,CT,Winter wheat,1,1,1,3.8804566579528155,433.1361763246598,0.901845452420774,11.74,61,4.07,13.89,62.55,17.97,1.3532625416081414,0.7077970954742482,2.448,6.004,53.18689269893213,28.703173777749914,18.109933523317963,39.9,0,0,15.4,44.7,20.1
BlDe04,CT,Winter barley,1,8,1,4.99610974925682,427.95133169730286,0.7590382274554925,7.03,15,14.99,15.3,63.42,3.62,1.3709517255878987,0.7048382445615206,1.896,7.14,50.29698149172317,28.905469140989986,20.79754936728684,34.6,0,0,0.7,64.7,19.7
ChBo01,NT,Winter wheat,1,3,1,2.2089526859521866,371.3087455262529,1.6652465557402119,1.76,64,7.82,3.21,38.96,14.98,1.1269167257325885,0.6145520373794341,4.6080000000000005,6.638,53.84895392222963,28.880216299076626,17.27082977869374,37.5,0.5,3.7,8.6,49.7,20.966666666666665
ChBo04,NT,Winter wheat,1,3,1,5.480731829994358,355.02040963262397,0.8836817446841432,7.59,95,44.1,15.23,26.4,2.92,1.411016065681129,0.7305985950579744,3.21,7.680000000000001,37.95126330449554,35.4568871166327,26.591849578871763,33.1,0,10.7,0,56.2,22.233333333333334
ChFa03,NT,Winter wheat,1,11,1,2.4231322241842745,405.33013606770834,4.147991480827332,3.12,163,4.39,7.31,54.62,31.56,1.50192433702248,0.7716627860177753,1.882,7.85,45.61432524543211,33.468893674262745,20.916781080305142,26,0,9.9,1.7,62.4,34
DaDu02,NT,Winter barley,1,0,0,3.181814337301254,436.91728877500105,0.7830151973567048,9.17,16,16.48,17.18,50.59,12.21,1.2715871756116335,0.6521514188000215,3.196,6.698,32.937713572576506,36.92886378700768,30.133422640415816,33.1,0.3,43.9,0,22.7,15.2
DaDu05,NT,Winter wheat,1,0,0,1.5619077219473199,418.8477946836252,1.5432944396765398,14.31,95,7.3,16.96,60.2,13.4,1.2738293591813061,0.6681914392872356,2.622,6.12,57.999704224336064,23.900084774422613,18.100211001241327,22.4,0.7,17.7,4.3,54.9,11.866666666666667
DaDu06,NT,Winter wheat,1,1,1,5.4485407486503945,420.74693257099875,1.1058779441222952,8.22,94,12.5,11.26,66.26,8.09,1.465227941129673,0.7637565902999272,2.562,6.828,58.84334255857389,21.102668345986693,20.05398909543942,29.1,0.2,4.1,0.9,65.7,21.2
DeJo03,CT,Winter wheat,1,0,0,1.8568521621044725,433.0913579915365,1.5778379093706607,7.42,160,2.77,7.61,65.27,22.56,1.4057629993969867,0.7484844847972217,5.09,6.408,23.534996585922862,44.35916261882448,32.10584079525266,55.5,0,0,2,42.5,35.3
DeJo07,CT,Winter wheat,1,6,1,1.8814463883474468,433.3603583802568,1.7576937146801899,6.37,73,3.12,24.46,43.92,27.16,1.3792838109758696,0.7177848046281626,1.708,7.89,50.97464394025128,33.93956487059873,15.08579118914999,42.8,0,0,7,50.2,32.3
JaBu01,NT,Winter wheat,1,1,1,2.7009331791102884,633.4115928609103,4.034021755590796,7.95,65,14.39,27.62,53.99,3.96,1.2599266203209183,0.6699340583249477,3.466,6.122,41.737508679463495,39.50346962304107,18.759021697495434,28.9,2.3,22.4,5.3,41.1,21.2
