field,mngt_soil,culture,nest_n,nest_pa,area_ha,alt_plot,slope_plot,lsc_BPA_500m,lsc_dist_to_BPA,lsc_Forest_500m,lsc_Grassland_500m,lsc_Crop_500m,lsc_Urban_500m,soil_bulk_dens,soil_rel_dens,soil_som,soil_ph,soil_sand,soil_silt,soil_clay,sqa_cov_crop,sqa_cov_moss,sqa_cov_litter,sqa_cov_weed,sqa_cov_bare,sqa_veg_height
AnCa01,CT,Winter wheat,16,1,4.693979225118831,356.87608589010034,0.8712247676473666,10.5,138,46.57,12.91,20.44,4.19,1.447697559866103,0.7306579219387113,1.2,5.31,34.59474423075556,42.27223342625903,23.133022342985406,26.8,0,0,2.85,70.35,35.55
BlDe01,CT,Winter wheat,11,1,3.8804566579528155,433.1361763246598,0.901845452420774,11.74,61,4.07,13.89,62.55,17.97,1.3532625416081414,0.7077970954742482,2.448,6.004,53.18689269893213,28.703173777749914,18.109933523317963,39.7,0,0,11.4,48.9,35.85
BlDe04,CT,Winter barley,13,1,4.99610974925682,427.95133169730286,0.7590382274554925,7.03,15,14.99,15.3,63.42,3.62,1.3709517255878987,0.7048382445615206,1.896,7.14,50.29698149172317,28.905469140989986,20.79754936728684,41.9,0,0,0.35,57.75,42.65
ChBo01,NT,Winter wheat,3,1,2.2089526859521866,371.3087455262529,1.6652465557402119,1.76,64,7.82,3.21,38.96,14.98,1.1269167257325885,0.6145520373794341,4.6080000000000005,6.638,53.84895392222963,28.880216299076626,17.27082977869374,38,0.25,3.45,6,52.3,31.03333333333333
ChBo04,NT,Winter wheat,6,1,5.480731829994358,355.02040963262397,0.8836817446841432,7.59,95,44.1,15.23,26.4,2.92,1.411016065681129,0.7305985950579744,3.21,7.680000000000001,37.95126330449554,35.4568871166327,26.591849578871763,38.9,0,7.85,0.55,52.7,32.666666666666664
ChFa03,NT,Winter wheat,11,1,2.4231322241842745,405.33013606770834,4.147991480827332,3.12,163,4.39,7.31,54.62,31.56,1.50192433702248,0.7716627860177753,1.882,7.85,45.61432524543211,33.468893674262745,20.916781080305142,42.2,0,6.35,1.4,50.05,56.4
DaDu02,NT,Winter barley,0,0,3.181814337301254,436.91728877500105,0.7830151973567048,9.17,16,16.48,17.18,50.59,12.21,1.2715871756116335,0.6521514188000215,3.196,6.698,32.937713572576506,36.92886378700768,30.133422640415816,46.3,0.15,32.8,0.25,20.5,33.25
DaDu05,NT,Winter wheat,0,0,1.5619077219473199,418.8477946836252,1.5432944396765398,14.31,95,7.3,16.96,60.2,13.4,1.2738293591813061,0.6681914392872356,2.622,6.12,57.999704224336064,23.900084774422613,18.100211001241327,29.25,0.35,15.85,3.05,51.5,29.333333333333332
DaDu06,NT,Winter wheat,3,1,5.4485407486503945,420.74693257099875,1.1058779441222952,8.22,94,12.5,11.26,66.26,8.09,1.465227941129673,0.7637565902999272,2.562,6.828,58.84334255857389,21.102668345986693,20.05398909543942,38.25,0.1,3.5,1.2,56.95,36.1
DeJo03,CT,Winter wheat,3,1,1.8568521621044725,433.0913579915365,1.5778379093706607,7.42,160,2.77,7.61,65.27,22.56,1.4057629993969867,0.7484844847972217,5.09,6.408,23.534996585922862,44.35916261882448,32.10584079525266,65.85,0,0.2,1.35,32.6,60.85
